prefecture,year,month,positive,death,population,qe,FujiiKasaigdo,Fujiigdo,FujiiKasaigdp,Fujiigdp,rdei,qFujiigdp,qFujiigdponly,qFujiiKasaigdponly,qrdei,qrdeionly,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,departsuper,conveni,kaden,drugstore,Kasaiiip,hhexp,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Akita,2020,6,0,0,981000,91.70163915,94.253944,94.028969,93.195572,92.35895703,90.917404,94.768547,96.320831,97.193336,93.289391,91.809792,9.875,-1.5,3.5,2.75,-84,-100,-20.26968774,-17.75,-56.82897425,29.23091527,-36.08230484,3.2,-3.1,50.6,12.8,95.5,273699,30.2,22.2,50,35.6,33.3,29.6,25.4,33.3,33.3,29.8,33.3,30.8,30.1,14.16142104,482,1219,,,,,,,,,,,,,,,,,,,,,,22.2,58.8,,,,,,,,,,,
Akita,2020,7,2,0,981000,96.53953546,93.95771,94.041985,91.950729,92.74989008,89.695786,95.616226,95.675537,94.851166,92.467735,92.410461,9.25,6,0.5,1.032258065,-53,-100,-2.859159148,-16.48387097,-61.72199258,23.36200175,-44.96815871,0.1,-7.5,10.6,11.6,93,266897,30.3,22.2,50,34.5,36.7,25.8,26.5,41.7,27.8,34.7,16.7,29.2,30.5,-27.58099739,526,1298,,,,,,,,,,,,,,,,,,,,,,0,58.6,,,,,,,,,,,
Akita,2020,8,31,0,981000,96.53953546,93.910156,94.767998,91.422577,93.72217516,90.132004,96.618561,96.67849,94.306351,92.917435,92.859879,15.5,1.5,-2.5,-2.75,-57,-99.6632997,-27.52482417,-2.75,-70.59252663,-7.461180233,-35.84652637,-1.9,-2.8,4.5,8.9,89.4,276360,31.1,22.2,50,41.7,30,30,25,33.3,25,30.3,16.7,28.6,31.6,25.71121419,427,1032,,,,,,,,,,,,,,,,,,,,,,11.1,55.6,,,,,,,,,,,
Akita,2020,9,4,0,981000,96.53953546,96.1091,96.42041,94.266685,95.52085631,91.539078,98.472824,98.533905,97.240173,94.367996,94.30954,15.875,-1.5,2.5,-4.592592593,0,-100,-1.617545508,-8.962962963,-65.34602068,-2.404581055,-5.332005645,-8,-2.3,-33.6,1.6,94.9,269863,32.4,25,50,47.1,30,24.2,32.6,35.7,50,25,16.7,34.5,32.1,84.93645319,593,1504,,,,,,,,,,,,,,,,,,,,,,33.3,58.2,,,,,,,,,,,
Akita,2020,10,10,0,981000,99.25709645,96.397736,97.600342,94.035774,96.7303276,92.444397,99.811569,99.538162,96.765396,95.389114,95.651855,19.5,3,1.5,11.16129032,29,-96.3695038,0.675333287,-8.516129032,-60.39367822,42.80323941,22.77086255,7.2,-3.1,41.7,6.9,92.1,283508,36.4,22.2,50,50.9,36.7,28.6,33.3,36.1,66.7,34.6,16.7,38.9,35.8,0.669058514,496,1369,,,,,,,,,,,,,,,,,,,,,,55.6,60.7,,,,,,,,,,,
Akita,2020,11,27,1,981000,99.25709645,97.173592,97.588585,95.183861,96.35475154,92.797195,99.424026,99.151688,97.946808,95.753151,96.016899,9.875,2.5,1,2.5,148,-93.8256659,-0.268934107,3.5,-20.85436699,32.5255858,23.74945547,-0.1,-1.7,29.8,14.3,96.2,278718,39.1,27.8,50,48,33.3,34.8,35.8,47.6,83.3,37.5,16.7,38.1,39.3,8.141804633,543,1191,,,,,,,,,,,,,,,,,,,,,,44.4,62,,,,,,,,,,,
Akita,2020,12,50,0,981000,99.25709645,97.566605,97.478905,95.68914,95.88715534,93.052193,98.941536,98.670517,98.466751,96.016266,96.280739,-3,-5.5,-4.5,5.483870968,132,-86.4238411,-25.84913827,-0.741935484,-13.90844216,5.772391092,-12.94430485,0.1,-1.7,14,10.4,99,315007,34.2,33.3,50,45.6,26.7,31.8,30.8,27.8,44.4,30.8,16.7,41.1,32.9,1.407319953,414,963,,,,,,,,,,,,,,,,,,,,,,55.6,63,,,,,,,,,,,
Akita,2021,1,121,0,981000,97.91108917,95.870483,97.445,92.94989,95.90065852,93.709076,98.571304,97.563934,94.561989,96.318687,97.323547,-14.75,-3.5,-1.5,4.25,-24.18414918,-99.0410959,-37.72315552,3,-24.4559403,-17.28732161,-22.31693716,-1.4,-0.8,1.3,7.8,94.3,267760,36.8,38.9,33.3,40.7,36.7,35.7,35.6,41.7,38.9,33.3,16.7,37.8,36.6,-3.363112319,416,1177,,,,,,,,,,,,,,,,,,,,,,66.7,58.9,,,,,,,,,,,
Akita,2021,2,8,5,981000,97.91108917,96.833664,97.150368,95.178467,95.68066339,93.355797,98.345177,97.340126,96.829216,95.955566,96.956642,-12.25,0.5,-3,1,-29.13346614,-100,-25.48249072,3.5,-48.81661928,-10.27736756,-6.71961806,-2.3,-4,16.5,-2.3,100.7,252451,39.2,44.4,33.3,44.4,33.3,39.2,36,36.7,83.3,36.1,33.3,41.7,38.7,-4.559099521,423,1197,,,,,,,,,,,,,,,,,,,,,,66.7,62.1,,,,,,,,,,,
Akita,2021,3,14,0,981000,97.91108917,96.814079,97.062294,96.89489,97.26381737,91.60125,99.97242,98.950737,98.575409,94.152161,95.134422,-3.25,-1.1975,-3.415,1.5,-38.22067594,-97.8580171,-27.59029494,6.5,-2.121989151,8.503158989,37.79498309,0.7,3.7,12.6,-2.7,102.1,309800,40.8,50,,43.8,40,43,37.5,33.3,44.4,36.4,66.7,43.1,40.4,54.42952917,896,2196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
