prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info
Aomori,2020,1,0,0,1263000,102.5151,100.8315503799881,,3.5,,5.6666665,0,565.5913978,3.928956957897361,-9.666667,-6.845641357794009,3.325246979757036,10.52662003649937
Aomori,2020,2,0,0,1263000,101.23714,100.6271425399677,-.5,3,,1.2962962,-24,-80.1104972,.9760477647806218,-6.4814816,-7.150664229707214,1.116019326301773,-.0500156504966608
Aomori,2020,3,8,0,1263000,98.117966,96.74124061095714,-3,-.5,,-1.75,-60,-99.1950758,-17.55216246141814,-6.25,.5202745605247481,-20.23491841843047,-8.589404724498301
Aomori,2020,4,18,0,1263000,94.577774,89.73206953110292,-13.625,-2,,3.2666667,-96,-100,-63.9486107631118,-12.333333,-57.39324323995391,-45.37834205963415,-18.8366618357688
Aomori,2020,5,1,1,1263000,92.985039,86.98356361598731,-7.75,-.5,,2.75,-98,-96.57422510000001,-47.41649037082465,-26.5,-73.33516737330599,-52.88635575387618,-18.27666582161797
Aomori,2020,6,0,0,1263000,97.250992,93.80951408190262,.125,-3,,1.5,-89,-100,-26.64738472014243,-26.5,-57.86535734483285,-30.34180818233763,-32.42361739961657
Aomori,2020,7,5,0,1263000,96.78392,94.12317261191933,3.75,-3,,-1.6129032,-63,-100,-20.46205182141098,-21.32258,-52.75336274404371,-2.600692193795058,-44.7387773279001
Aomori,2020,8,3,0,1263000,98.340652,95.24344259998983,12,-1,,-2.75,-55,-100,-33.80802796740877,-11.5,-63.46804294162052,-17.63347477246005,-31.51289416303663
Aomori,2020,9,1,0,1263000,99.092751,97.18245576354126,7.625,-2.5,,-9.1851854,7,-97.834912,-8.834308076292588,-14.888889,-57.60106515285791,-13.59215131275862,-1.201186926476775
Aomori,2020,10,191,3,1263000,100.61334,98.62388909561245,9.75,-3,,4.8064518,42,-97.3007712,-14.11641043380304,-13.387096,-59.18350932218473,16.60936075006349,16.41548122102979
Aomori,2020,11,68,2,1263000,100.48196,97.87286644006005,.125,-4.5,,1.75,117,-71.29291449999999,-22.52986159311185,-2.75,-21.43967208545156,-3.547742143508845,8.888389379488176
Aomori,2020,12,187,2,1263000,99.961349,96.81799760876173,-9,3.5,,6.967742,87,-93.495935,-37.78924723840281,-10.193548,-20.29195554087098,-15.05163922435541,-15.43152656960829
Aomori,2021,1,235,5,1263000,,96.76060251945984,-37.75,1.5,,9.25,-52,-100,-46.63706727845506,-11.5,-18.9023427597832,-34.14851717146182,-15.11086699214179
Aomori,2021,2,99,7,1263000,,,,,,8.75,,,-33.79872095848594,-9.25,-50.47938873769429,-34.3896010360798,-4.133536489665699
Aomori,2021,3,128,0,1263000,,,,,,5,,,-29.98816677483305,-1,-28.79940434314415,-25.71808993326955,12.18021498060793
Chiba,2020,1,1,0,6255000,100.69497,101.0226477908561,,-3,-2,9,-2,-64.7483105,-3.277171475490098,8.583333,-8.866149598370725,7.856371665993152,5.954023907709874
Chiba,2020,2,12,0,6255000,99.309326,100.566195270007,-1.5,-2.5,-2.5,4.7037039,10,64.6714326,-6.636040999908787,9.4814816,-8.208554738339181,6.411936894762777,-2.738805302966981
Chiba,2020,3,158,1,6255000,95.468086,95.09396981716965,-3.75,-7,-8.5,1.25,-94,-98.9268386,-20.00516373657396,6.75,-11.43078343578233,-10.0970199578034,-11.03843873301389
Chiba,2020,4,663,31,6255000,88.655472,86.72144245180303,-23,-18,-26.5,5.2666669,-99,-99.80998080000001,-62.03712135731386,-14.433333,-67.6105360206911,-43.83823176569684,-18.75811825585632
Chiba,2020,5,64,13,6255000,85.516945,83.95577027555039,-24.25,-14,-22,2.5,-99,-99.9871667,-50.17671809801767,-31.25,-78.72828882336799,-50.47489548255601,-12.71331845300374
Chiba,2020,6,59,0,6255000,92.700928,92.12276526991096,-12.625,-7,-12.5,1.5,-96,-98.32819240000001,-25.65322110783597,-29.75,-61.58167433506643,-27.55139659314693,-29.73513725377362
Chiba,2020,7,689,4,6255000,92.634247,92.67864297268348,-14.25,-3.5,-6.5,1.2903225,-88,-98.3251801,-12.95469753329607,-28.548388,-54.18347066481486,-3.61347694630367,-45.66223067382226
Chiba,2020,8,1390,13,6255000,94.063751,93.40737089206219,-12.75,-5,-11,1.25,-66,-96.23675950000001,-17.75229128367727,-28.75,-67.31342720384585,-15.77315625757457,-32.05670905174982
Chiba,2020,9,845,9,6255000,95.911324,95.38738303037859,-11.25,-6,-7,-11.962963,-47,-93.92283999999999,2.22101375324072,-26.666666,-55.43347606272302,-1.62210469297608,-.141452043491
Chiba,2020,10,1138,9,6255000,97.001312,97.55516861077817,-9.25,1,-.5,9.9354839,1,-94.50742769999999,1.659899092412068,-22.354839,-65.15151924525493,49.88679182655941,15.01660509173411
Chiba,2020,11,1973,7,6255000,97.008171,96.99983801335445,-9.75,-3,-7.5,.75,5,-74.30126250000001,-12.11553461083597,-15.5,-27.35629341988693,36.18555863582297,8.728327571718621
Chiba,2020,12,4071,31,6255000,95.988609,95.90686317997586,-13,-5,-10.5,1.3225807,-22,-23.6748109,-26.77801278310478,-20.387096,-10.36253980412516,8.39920189135678,-12.85351912191526
Chiba,2021,1,11238,132,6255000,,95.01479561408692,-37.5,-9,-16.5,1.75,-85,-95.9511471,-41.62201587849221,-8.25,-8.493747201705299,-28.42703176404334,-8.301434022240416
Chiba,2021,2,4077,203,6255000,,,,,,-4,,,-36.89435637744295,-12.25,-45.52889571122602,-40.11593793744235,-.5601309342994192
Chiba,2021,3,2944,107,6255000,,,,,,-6,,,-38.35948879967545,-28,-1.390108809648651,-21.6972007199403,13.83317529927699
Ehime,2020,1,0,0,1352000,101.65711,101.0347525298661,,1,,0,-18,-3.7735849,5.257787875073404,-.083333336,-1.270744182466433,3.619316008591197,7.306856810622289
Ehime,2020,2,0,0,1352000,99.648125,100.7678710266582,1.25,-4,,2.074074,-11,-68.49840260000001,3.43460824736961,.25925925,-7.343136720429628,-1.811883442223874,-3.836405894075101
Ehime,2020,3,9,0,1352000,97.431831,96.74961898299442,-2,-7.5,,5.75,-65,-99.84999999999999,-16.93379486036401,4.75,-9.484278376415276,-15.81104517770684,-17.38042267237983
Ehime,2020,4,38,3,1352000,91.963402,89.33104307141868,-12.5,-16.5,,10.933333,-95,-99.8844598,-60.51048308889899,-5.9000001,-69.1367835203513,-46.26100646061548,-27.67377575967726
Ehime,2020,5,35,1,1352000,89.78476,85.58694962136663,-14.75,-12.5,,6.75,-98,-99.36974789999999,-50.11064598271744,-18.5,-74.16110525130968,-51.25046918606663,-26.21285814029321
Ehime,2020,6,0,0,1352000,96.231483,92.23052280340973,-7.875,-7,,9,-82,-100,-21.20647403393535,-14.75,-54.27734401119353,-29.80497594051749,-39.03124648293382
Ehime,2020,7,7,1,1352000,95.882393,93.17139296516203,-6.5,-3,,4.9032259,-44,-100,-6.415339063030485,-14.548388,-62.41522564186586,-12.62277982344563,-46.96598023689805
Ehime,2020,8,25,1,1352000,96.793808,93.80885950344947,-5,-6.5,,5.25,-34,-94.5241893,-20.9300786116443,-6.25,-61.13669360996141,-27.34527528906883,-36.69843566949644
Ehime,2020,9,0,0,1352000,98.681145,96.16392120712059,-7.75,-6,,2.4444444,20,-88.0829016,-4.09750845779056,-12.444445,-55.53782496110211,-20.98142147107585,-10.2818263634679
