prefecture,Prefecture_JP,year,month,positive,death,population,qe,FujiiKasaigdo,FujiiKasaigdo_raw,Fujiigdo,Fujiigdo_raw,FujiiKasaigdp,Fujiigdp,rdei,qFujiigdp,qFujiigdponly,qFujiiKasaigdponly,qrdei,qrdeionly,ITA,IIP,KasaiIIP,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,departsuper,conveni,kaden,drugstore,Kasaiiip,hhexp,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Aichi,愛知県,2021,9,21823,95,7537000,98.10237860765515,91.773178,87.857681,92.797325,88.736839,86.037239,87.79555816564245,89.678116,91.812973,90.87851,89.058449,93.78167,94.756004,94.431854,79.585732,75.652176,-16.125,,,,,,,,,,,-1.4,1.2,-4.5,8.5,78.3,265306,42.4,33.3,,48.1,41.7,44.7,37.9,39.6,22.2,37.9,,40.5,42.6,20.99517109169963,1225,5470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2021,10,1099,21,7537000,99.39885208651141,,,,,90.17955,91.47647533248498,,,93.588142,92.261284,,,96.61174,85.123589,82.222221,-8.75,,,,,,,,,,,1.3,-1.3,3.8,10,85.09999999999999,281996,44.8,66.7,,44.4,41.7,44.3,48.5,47.9,25,43.8,,38.9,45.3,27.99037056825175,1172,5171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2021,11,247,5,7537000,99.39885208651141,,,,,97.655899,96.10592675865745,,,98.324463,99.910217,,,97.166885,94.793404,98.260872,-4.875,,,,,,,,,,,1,1.2,-10.6,5.1,101.7,277029,43.9,,,47.4,41.7,42.3,39.4,44.4,33.3,55.6,,47.9,43.5,-4.633915445232986,1735,6918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2021,12,208,0,7537000,99.39885208651141,,,,,,95.68589576469459,,,97.894737,,,,,,,-6.5,,,,,,,,,,,,,,,,317206,45,,,52.2,44.4,47.3,34.8,30,25,50,,52.4,44.2,79.74771102759985,1408,5850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2022,1,62114,33,7537000,,,,,,,,,,,,,,,,,-14.75,,,,,,,,,,,,,,,,,38.4,,,37.5,44.4,38.6,37.5,40.9,16.7,40,,41.7,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2022,2,74688,132,7537000,,,,,,,,,,,,,,,,,-15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,秋田県,2020,1,0,0,981000,99.99999540999845,102.27454,100,102.17921,100,100,100.0000006831139,100,102.17921,101.49138,101.49138,102.17921,102.87643,100,100,100,,-2.5,-1,4.583333333333333,-5,-57.260274,10.1420426693995,-4.75,-8.602894876288028,10.68540806095878,4.33796129067091,-3.1,-1.8,4.9,9.1,104.5,287173,,,,,,,,,,,,,,-13.00705091723266,392,1041,,,,,,,,,,,,,,,,,,,,,,55.6,79.7,,,,,,,,,,,
Akita,秋田県,2020,2,0,0,981000,99.99999540999849,101.45965,99.203232,100.67227,98.525208,101.06219,99.70613730452031,97.344284,101.87894,101.19314,102.5694,99.465614,100.14433,99.397919,100.2892,104.21053,1,1.5,-1,-1.555555555555556,-9,24.2105263,-.4370446429654767,-6.851851851851852,3.928151669988136,1.555487633013975,-.5317707946130447,2.1,1.2,7.4,20.4,108.9,271735,35.7,33.3,50,37.8,38.9,36.9,34.1,28.6,58,34.7,16.7,39.7,34.9,28.29527689340773,514,1343,,,,,,,,,,,,,,,,,,,,,,66.7,84.5,,,,,,,,,,,
Akita,秋田県,2020,3,6,0,981000,99.99999540999849,97.162041,95.001205,96.188019,94.136589,97.146179,95.41695078934694,92.856232,97.496284,96.839981,98.595001,94.879761,95.527184,94.777641,96.62635,101.62679,-3.25,-1,-1.5,-2.25,-59,-99.6328029,-17.15135203788164,-3.5,3.011350342853786,-17.00451743444968,-10.34581278007564,-3.1,-7.3,-.8,19.5,106.2,292214,31.5,37.5,50,34.3,30,28.9,30.2,27.8,,35,16.7,32.1,31.5,-30.23260797934041,775,2069,,,,,,,,,,,,,,,,,,,,,,66.7,75.3,,,,,,,,,,,
Akita,秋田県,2020,4,10,0,981000,92.05940288210788,94.10627,89.975693,93.277756,89.170372,89.92453,88.31389930578662,90.026848,92.381836,92.564896,94.253052,94.173683,93.987808,87.026558,90.749191,95.4067,-7.875,-1,2.5,2.733333333333333,-96,-100,-57.85273768584804,-8.133333333333333,-60.61583238303272,-45.0592979268995,-21.88855142088734,-3.9,-12,4.3,15.9,99.7,267922,26.3,16.7,33.3,31.1,23.3,27,24.4,27.1,,25.6,16.7,21.4,27.1,-26.17328242143405,432,734,,,,,,,,,,,,,,,,,,,,,,44.4,66,,,,,,,,,,,
Akita,秋田県,2020,5,0,0,981000,92.05940288210788,91.937004,87.901642,91.34819,87.325768,86.701782,85.55002327888228,89.101509,89.490646,89.667976,90.875175,93.205727,93.021751,85.742355,85.186188,88.516747,1.25,-1,-.5,1.75,-98,-99.76580800000001,-42.06804800817589,-18.5,-72.77119058422828,-44.87984545196599,-17.02917735400825,2.3,-10.1,24.3,7.6,92.5,252017,27.3,22.2,50,34.4,19.4,29.4,23.6,30.6,66.7,22.6,16.7,29.2,27,-74.6898843069665,344,513,,,,,,,,,,,,,,,,,,,,,,22.2,53.7,,,,,,,,,,,
Akita,秋田県,2020,6,0,0,981000,92.05940288210788,95.761986,91.558731,95.338547,91.140419,93.195572,92.35895703336696,89.921883,96.61322,96.804657,97.681541,94.063889,93.87822,94.151321,88.9683,91.387558,9.875,-1.5,3.5,2.75,-84,-100,-20.26968774450734,-17.75,-56.82897424819908,29.23091527202759,-36.0823048412061,3.2,-3.1,50.6,12.8,95.5,273699,30.2,22.2,50,35.6,33.3,29.6,25.4,33.3,33.3,29.8,33.3,30.8,30.1,14.16142104468381,482,1219,,,,,,,,,,,,,,,,,,,,,,22.2,58.8,,,,,,,,,,,
Akita,秋田県,2020,7,2,0,981000,96.94347665536681,95.062378,90.771484,95.128983,91.171059,91.950729,92.74989008197961,89.592232,96.77636,96.016808,95.189499,93.481621,94.22699,93.513069,91.306168,88.995216,9.25,6,.5,1.032258064516129,-53,-100,-2.859159148399032,-16.48387096774194,-61.72199258282692,23.36200174852683,-44.96815870834399,.1,-7.5,10.6,11.6,93,266897,30.3,22.2,50,34.5,36.7,25.8,26.5,41.7,27.8,34.7,16.7,29.2,30.5,-27.5809973854698,526,1298,,,,,,,,,,,,,,,,,,,,,,0,58.6,,,,,,,,,,,
Akita,秋田県,2020,8,31,0,981000,96.94347665536681,94.91375,90.629562,95.763702,91.779366,91.422577,93.72217516064907,89.836555,97.790848,97.023338,94.642746,93.736549,94.483955,94.526802,92.200043,85.55024,15.5,1.5,-2.5,-2.75,-57,-99.6632997,-27.52482416707749,-2.75,-70.5925266326138,-7.461180232607806,-35.84652637357188,-1.9,-2.8,4.5,8.9,89.40000000000001,276360,31.1,22.2,50,41.7,30,30,25,33.3,25,30.3,16.7,28.6,31.6,25.71121419226159,427,1032,,,,,,,,,,,,,,,,,,,,,,11.1,55.6,,,,,,,,,,,
Akita,秋田県,2020,9,4,0,981000,96.94347665536681,96.932571,92.557266,97.229675,93.184349,94.266685,95.52085631458708,90.847847,99.667618,98.885376,97.587029,94.79174,95.547562,96.092155,94.440117,90.8134,15.875,-1.5,2.5,-4.592592592592593,0,-100,-1.617545507819533,-8.962962962962964,-65.34602067965963,-2.404581054823702,-5.332005644742046,-8,-2.3,-33.6,1.6,94.90000000000001,269863,32.4,25,50,47.1,30,24.2,32.6,35.7,50,25,16.7,34.5,32.1,84.93645318974717,593,1504,,,,,,,,,,,,,,,,,,,,,,33.3,58.2,,,,,,,,,,,
Akita,秋田県,2020,10,10,0,981000,98.72213897744405,96.027588,92.800751,97.146805,94.148033,94.035774,96.73032760151362,91.565735,99.811348,98.896446,96.141548,94.482254,95.364487,97.155579,95.925873,88.133972,19.5,3,1.5,11.16129032258065,29,-96.3695038,.6753332871986908,-8.516129032258064,-60.39367822029754,42.80323941380836,22.77086254749699,7.2,-3.1,41.7,6.9,92.09999999999999,283508,36.4,22.2,50,50.9,36.7,28.6,33.3,36.1,66.7,34.6,16.7,38.9,35.8,.6690585139427867,496,1369,,,,,,,,,,,,,,,,,,,,,,55.6,60.7,,,,,,,,,,,
Akita,秋田県,2020,11,27,1,981000,98.72213897744405,96.664421,93.416183,96.995735,94.001625,95.183861,96.35475154198635,91.648499,99.423813,98.512459,97.315346,94.567657,95.450684,96.836555,95.443314,92.057419,9.875,2.5,1,2.5,148,-93.8256659,-.2689341073868223,3.5,-20.85436699195052,32.52558580222261,23.74945546560275,-.1,-1.7,29.8,14.3,96.2,278718,39.1,27.8,50,48,33.3,34.8,35.8,47.6,83.3,37.5,16.7,38.1,39.3,8.141804632523559,543,1191,,,,,,,,,,,,,,,,,,,,,,44.4,62,,,,,,,,,,,
Akita,秋田県,2020,12,50,0,981000,98.72213897744405,96.895058,93.639069,96.723793,93.738083,95.68914,95.88715533575729,91.589005,98.941322,98.034393,97.83194,94.506264,95.388725,96.192543,95.309448,94.736839,-3,-5.5,-4.5,5.483870967741935,132,-86.4238411,-25.84913827299646,-.7419354838709677,-13.9084421648251,5.772391091910552,-12.94430484944414,.1,-1.7,14,10.4,99,315007,34.2,33.3,50,45.6,26.7,31.8,30.8,27.8,44.4,30.8,16.7,41.1,32.9,1.4073199527745,414,963,,,,,,,,,,,,,,,,,,,,,,55.6,63,,,,,,,,,,,
Akita,秋田県,2021,1,121,0,981000,98.20368912194874,94.676285,91.320236,96.064964,92.795624,92.94989,95.90065851563989,89.69059,99.279388,97.820946,94.811089,92.850533,94.255829,94.38279,98.772041,90.239235,-14.75,-3.5,-1.5,4.25,-24.1841491841491841491841491841492,-99.0410959,-37.72315552117825,3,-24.45594030040825,-17.28732160658673,-22.31693715927704,-1.4,-.8,1.3,7.8,94.3,267760,36.8,38.9,33.3,40.7,36.7,35.7,35.6,41.7,38.9,33.3,16.7,37.8,36.6,-3.363112318549611,416,1177,,,,,,,,,,,,,,,,,,,,,,66.7,58.9,,,,,,,,,,,
Akita,秋田県,2021,2,8,5,981000,98.20368912194876,96.19841,92.788406,96.314819,93.03698,95.149628,95.6467756690284,90.427177,99.016563,97.561981,97.054878,93.613068,95.029907,94.507881,97.801247,96.36364,-12.25,.5,-3,1,-29.1334661354581673306772908366534,-100,-25.48249071632315,3.5,-48.8166192791869,-10.27736756286892,-6.719618060206477,-2.3,-4,16.5,-2.3,100.7,252451,39.2,44.4,33.3,44.4,33.3,39.2,36,36.7,83.3,36.1,33.3,41.7,38.7,-4.559099520586329,423,1197,,,,,,,,,,,,,,,,,,,,,,66.7,62.1,,,,,,,,,,,
Akita,秋田県,2021,3,14,0,981000,98.20368912194874,97.277489,93.829231,97.326981,94.014694,96.906258,97.27717644400488,90.752205,100.70441,99.225029,98.84668,93.949547,95.371483,96.484901,98.77594,97.703346,-3.25,-1.1975,-3.415,1.5,-38.2206759443339960238568588469185,-97.8580171,-27.59029493838234,6.5,-2.121989151470325,8.503158988560573,37.79498308725692,.7,3.7,12.6,-2.7,102.1,309800,40.8,50,,43.8,40,43,37.5,33.3,44.4,36.4,66.7,43.1,40.4,54.42952917053842,896,2196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,秋田県,2021,4,172,3,981000,98.78289223800903,97.422913,94.395813,97.913406,94.698166,97.163292,97.76801057926241,91.628326,101.08748,100.083,99.463966,94.739334,95.699821,96.068436,100.98313,99.234451,8.25,1.098,.2695000000000001,2.034613999999999,-59.8255280073461891643709825528007,-85.8585859,-28.73990435172734,2,,,,.6,9,13.2,3.1,103.7,301043,42,41.7,,42.2,40,45.2,40.6,37.5,83.3,38.9,16.7,48.7,40.7,44.72011145372238,532,1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,秋田県,2021,5,300,5,981000,98.78289223800903,96.330589,93.337433,96.289856,93.12793,95.437576,95.01856316322677,91.237289,98.244682,97.268456,97.697388,94.335022,95.291412,93.228142,98.40554,99.617226,8,6,-1.5,2.239472499999999,-39,-100,-43.67587399209896,10.93820958996983,,,,-2.6,3.7,-3.8,8.300000000000001,104.1,281063,40.5,44.4,,43.3,33.3,47.4,39.2,33.3,33.3,34.7,16.7,41.7,40.3,73.40000000000001,503,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,秋田県,2021,6,120,6,981000,98.78289223800903,99.64946,96.553177,99.106308,95.851898,98.879761,97.47721553491132,94.226585,100.78681,99.785324,101.22108,97.425812,98.413536,95.252457,101.68584,105.74163,13.75,,,-1.393118148148148,,,-41.43210358757277,10.35477257077424,,,,-4.5,.4,-21.9,6.2,110.5,260285,42.6,61.1,,41.7,40,47.2,42.7,36.7,66.7,33.3,33.3,44.9,42.1,41.23800912520522,504,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,秋田県,2021,7,145,0,981000,98.10237860765517,98.326462,94.131363,98.495804,94.185974,97.006821,97.11605003192668,91.255905,101.55996,100.52629,100.41323,95.431656,96.423134,94.76696,101.55988,101.24402,11,,,6,,,-49,,,,,.5,5.5,7.7,9.5,105.8,267710,45.3,44.4,,50,36.7,50.8,41.1,36.1,50,45,33.3,50,44.6,27.10503201728972,578,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,秋田県,2021,8,604,3,981000,98.10237860765517,97.083328,92.941269,96.644669,92.41584,96.106651,95.05577872713589,89.775894,99.405411,98.393677,99.481445,93.883926,94.859314,93.138016,98.683655,101.72249,9.25,,,,,,,,,,,-3.9,-7,-13.5,8.6,106.3,266638,42.2,44.4,,44.1,30,49.2,38.5,36.7,50,38.9,33.3,44,41.8,21.32835908882826,326,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
