prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info,departsuper,conveni,kaden,drugstore,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBsurvice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Aomori,2020,5,1,1,1263000,90.854965,83.802612,-7.75,-0.5,-1,2.75,-98,-96.5742251,-47.41649037,-26.5,-73.33516737,-52.88635575,-18.27666582,-3.5,-8.3,21.8,8.6,26.6,,,35.6,33.3,23.1,27,20.8,16.7,17.9,16.7,30.3,26.1,0.096314219,352,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.7,-1.9,,-40.3,,,
Aomori,2020,6,0,0,1263000,93.756599,87.907326,0.125,-3,-0.5,1.5,-89,-100,-26.64738472,-26.5,-57.86535734,-30.34180818,-32.4236174,-0.4,-0.7,45.5,14.1,32.2,,,41.4,33.3,28.1,27.2,35,22.2,25.9,16.7,33.3,32,-6.204507174,519,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.2,58.6,,36.8,,,
Aomori,2020,7,5,0,1263000,94.633286,89.652786,3.75,-3,-1.5,-1.6129032,-63,-100,-20.46205182,-21.32258,-52.75336274,-2.600692194,-44.73877733,1.5,-5.6,6,11,33.5,33.3,,41.1,41.7,32.5,31.7,31,25,26.7,8.3,36.4,33.1,42.69307948,562,1481,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.4,-48.4,,-1.9,,,
Aomori,2020,8,3,0,1263000,95.936493,90.292725,12,-1,-0.5,-2.75,-55,-100,-33.80802797,-11.5,-63.46804294,-17.63347477,-31.51289416,-2,-7.3,3,11.5,34.2,66.7,,40.9,25,33.3,31.7,31.5,33.3,24.2,16.7,36.4,33.9,-32.64118882,424,1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.6,-22.3,,-15.5,,,
Aomori,2020,9,1,0,1263000,97.863617,94.454437,7.625,-2.5,-0.5,-9.1851854,7,-97.834912,-8.834308076,-14.888889,-57.60106515,-13.59215131,-1.201186926,-7.1,-0.8,-34.7,-1.4,33.5,33.3,,44.4,27.8,34.2,29.4,29.6,16.7,25.6,16.7,37.5,33,10.60202565,561,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.4,13.6,,11.1,,,
Aomori,2020,10,191,3,1263000,98.759392,94.812355,9.75,-3,-2,4.8064518,42,-97.3007712,-14.11641043,-13.387096,-59.18350932,16.60936075,16.41548122,3.8,-2.4,37.3,11.9,34.1,,,45.8,25,32.5,31.7,33.3,23.3,20.5,16.7,38.9,33.5,-11.95821605,677,1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.5,50.8,,13,,,
Aomori,2020,11,68,2,1263000,97.9851,92.840355,0.125,-4.5,-1,1.75,117,-71.2929145,-22.52986159,-2.75,-21.43967209,-3.547742144,8.888389379,2.5,-1.1,28.8,15.4,35.4,66.7,,43,38.9,36.7,31.1,35.2,23.3,29.4,16.7,44,34.1,-9.916247545,636,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.2,-51.2,,-42.5,,,
Aomori,2020,12,187,2,1263000,98.730225,94.255821,-9,3.5,0,6.967742,87,-93.495935,-37.78924724,-10.193548,-20.29195554,-15.05163922,-15.43152657,-0.2,-1,12.7,8.3,34.3,66.7,,42.2,27.8,36.8,27.8,36.4,5.6,29.2,16.7,40.3,33.5,-38.34753836,450,1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.9,-57.8,,-24,,,
Aomori,2021,1,235,5,1263000,,93.637047,-19.5,5,0.5,4,-52,-100,-46.63706728,-11.5,-18.90234276,-34.14851717,-15.11086699,0.2,-0.6,3.3,9.7,32.5,50,,43.2,38.9,34.2,27.3,30,8.3,28.1,16.7,35.6,32.1,249.3750266,458,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83.4,15,,-54.8,,,
Aomori,2021,2,99,7,1263000,,93.603706,-17.5,6,-1.5,2.75,-68,-97,-33.79872096,-9.25,-50.47938874,-34.38960104,-4.13353649,-1.3,-4.4,13.8,-4.5,33.8,33.3,,42.5,33.3,36.5,29.5,33.3,16.7,25,16.7,39.3,33,-1.454765642,505,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.8,-14.9,,-54,,,
Aomori,2021,3,215,0,1263000,,,-9,2,2,1,,-98,-31.24408339,-5.5,-4.399702172,-24.85904497,31.09010749,,,,,35.6,16.7,,44.4,33.3,38.3,29.6,33.3,13.3,34.4,16.7,38.5,35.2,4.63378097,754,2253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aomori,2021,4,545,2,1263000,,,-0.625,,,2.6800001,,,-36.72,-8.2777777,,,,,,,,38.8,50,,45,41.7,43.3,31.7,35,16.7,38.9,25,43.6,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aomori,2021,5,205,4,1263000,,,11.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiba,2020,1,1,0,6255000,102.05053,100,,-3,-2,9,-2,-64.7483105,-3.277171475,8.583333,-8.866149598,7.856371666,5.954023908,-0.9,2.4,2,6.2,,,,,,,,,,,,,,-24.20319769,1159,4575,,,,,,,,,,,,,,,,,,,88.9,99.5,102.2,,,,,,,,,,,,,
Chiba,2020,2,12,0,6255000,100.7746,99.809425,-1.5,-2.5,-2.5,4.7037039,10,64.6714326,-6.636041,9.4814816,-8.208554738,6.411936895,-2.738805303,5.3,5.7,12.9,22.7,40.4,33.3,50,48.3,58.3,37.6,32.6,34.4,38.9,46.8,,43.8,39.7,3.556965659,1351,5188,,,,,,,,,,,,,,,,,,,88.3,98.8,101.8,,,,,,,,,,,,,
Chiba,2020,3,158,1,6255000,96.997482,94.602806,-3.75,-7,-8.5,1.25,-94,-98.9268386,-20.00516374,6.75,-11.43078344,-10.09701996,-11.03843873,-1.4,-4.7,-4.1,9,34.8,25,33.3,41.3,45.8,32.8,28.9,33.3,31.8,38.8,,37,34.4,-22.16846977,1485,6260,,,,,,,,,,,,,,,,,,,87.7,98.3,101.6,,,,,,,,,,,,,
Chiba,2020,4,663,31,6255000,90.048836,86.961876,-23,-18,-26.5,5.2666669,-99,-99.8099808,-62.03712136,-14.433333,-67.61053602,-43.83823177,-18.75811826,-6.6,-7.3,-10.8,14,27.7,25,33.3,34.2,22.7,27.1,24.1,17.6,28.8,28.6,,31.1,27.1,18.24678352,880,2870,,,,,,,,,,,,,,,,,,,88.8,98.7,101.6,,,,,,,,,,,,,
Chiba,2020,5,64,13,6255000,86.929573,84.321602,-24.25,-14,-22,2.5,-99,-99.9871667,-50.1767181,-31.25,-78.72828882,-50.47489548,-12.71331845,-2.4,-6.1,9.6,7.3,25.9,25,33.3,30.9,19.4,23.7,24.5,15.7,27.8,27.2,,31.3,24.8,37.08701541,691,2081,,,,,,,,,,,,,,,,,,,89.1,98.6,101.6,,,,,,,,,,,,,
Chiba,2020,6,59,0,6255000,93.747627,91.574013,-12.625,-7,-12.5,1.5,-96,-98.3281924,-25.65322111,-29.75,-61.58167434,-27.55139659,-29.73513725,3.5,-2.5,34.1,8.8,29.3,25,50,36,30,23.9,23.6,30,29.6,35.2,,33,28.6,-26.90162419,1304,4028,,,,,,,,,,,,,,,,,,,151.8,99.1,101.6,,,,,,,,,,,,,
Chiba,2020,7,689,4,6255000,94.443344,92.460869,-14.25,-3.5,-6.5,1.2903225,-88,-98.3251801,-12.95469753,-28.548388,-54.18347066,-3.613476946,-45.66223067,3.8,-5.8,16,9.4,30.9,16.7,33.3,37.6,36.1,26.9,25.1,31.5,27.3,36,,37.2,29.8,-27.72979298,1301,5062,,,,,,,,,,,,,,,,,,,114.5,98.9,102,,,,,,,,,,,,,
Chiba,2020,8,1390,13,6255000,95.372055,92.164932,-12.75,-5,-11,1.25,-66,-96.2367595,-17.75229128,-28.75,-67.3134272,-15.77315626,-32.05670905,6.4,-2.9,13.5,10.9,31.6,16.7,33.3,38.1,46.7,25.7,26.1,29.2,38.9,35.9,,36.5,30.7,-23.58682704,1081,4111,,,,,,,,,,,,,,,,,,,87.3,99.2,102.2,,,,,,,,,,,,,
Chiba,2020,9,845,9,6255000,97.119637,93.877846,-11.25,-6,-7,-11.962963,-47,-93.92284,2.221013753,-26.666666,-55.43347606,-1.622104693,-0.141452043,-6.9,-2.3,-30.5,-6.5,34.4,33.3,33.3,40.8,50,27.9,30.4,34.6,35.7,39.7,,38.9,33.6,61.95383758,1431,5605,,,,,,,,,,,,,,,,,,,86.6,98.6,102.2,,,,,,,,,,,,,
Chiba,2020,10,1138,9,6255000,98.230293,96.166763,-9.25,1,-0.5,9.9354839,1,-94.5074277,1.659899092,-22.354839,-65.15151925,49.88679183,15.01660509,6.5,-5,32.2,8.1,35.5,33.3,50,39.6,50,30.9,31,36.5,33.3,41.9,,39.8,34.7,-13.37272325,1329,4702,,,,,,,,,,,,,,,,,,,87.4,98.3,101.9,,,,,,,,,,,,,
Chiba,2020,11,1973,7,6255000,98.396408,95.919197,-9.75,-3,-7.5,0.75,5,-74.3012625,-12.11553461,-15.5,-27.35629342,36.18555864,8.728327572,1.1,-2.8,22.9,9.4,36,41.7,33.3,39.3,33.3,32.6,33.3,32.1,42.6,40.7,,41.9,34.8,-35.19660735,1532,4820,,,,,,,,,,,,,,,,,,,89.3,98.7,101.5,,,,,,,,,,,,,
Chiba,2020,12,4071,31,6255000,98.005356,96.081993,-13,-5,-10.5,1.3225807,-22,-23.6748109,-26.77801278,-20.387096,-10.3625398,8.399201891,-12.85351912,0.2,-2.7,15.6,6.4,36.1,41.7,33.3,41.9,44.4,32,31.6,36.7,41.7,38.2,,37.8,35.8,2.457249421,1284,4316,,,,,,,,,,,,,,,,,,,178.5,98.8,101.2,,,,,,,,,,,,,
Chiba,2021,1,11302,132,6255000,,94.684288,-23.5,-11.5,-18,1,-85,-95.9511471,-41.62201588,-8.25,-8.493747202,-28.42703176,-8.301434022,1.8,-2.7,15.3,4.4,34.6,50,33.3,39.5,58.3,32,30.3,27.8,44.4,36.3,,38.8,33.8,15.7590916,1243,4629,,,,,,,,,,,,,,,,,,,87.9,98,101.4,,,,,,,,,,,,,
Chiba,2021,2,4093,203,6255000,,93.608841,-19.375,-10,-17.5,-1,-89,-92,-36.89435638,-12.25,-45.52889571,-40.11593794,-0.560130934,-1.4,-5.4,5.6,-8.3,34.7,41.7,33.3,40.1,55.6,31.8,30.5,27.8,40.3,38.2,,37.9,34.2,-13.65115598,1343,5535,,,,,,,,,,,,,,,,,,,,,101.2,,,,,,,,,,,,,
Chiba,2021,3,3240,115,6255000,,,-14.5,-10.5,-16,-3.25,,-91,-37.4297444,-24.5,41.8049456,-16.09860036,30.41658765,,,,,38,41.7,33.3,43.5,62.5,36.2,32.7,30,39.5,40.9,,43.4,37.1,60.99081497,1685,6950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiba,2021,4,3496,54,6255000,,,-11.75,,,0.44,,,-34.88,-19,,,,,,,,37.5,41.7,50,39.6,56.7,35.7,34.6,31.5,42.7,39.8,,40.2,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiba,2021,5,1193,19,6255000,,,-19.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
