prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info
Fukuoka,2020,9,444,36,5107000,97.433464,96.18641497780801,-10,,,,,,,,,,
Fukuoka,2020,10,187,4,5107000,99.984375,98.38301157373519,-7.5,,,,,,,,,,
Fukuoka,2020,11,600,6,5107000,99.940437,97.71508572424817,-8.125,,,,,,,,,,
Fukuoka,2020,12,3137,11,5107000,99.41732,96.80347273323788,-12.75,,,,,,,,,,
Fukuoka,2021,1,7211,68,5107000,,96.32419758714063,-23.5,,,,,,,,,,
Fukuoka,2021,2,1887,104,5107000,,,-19.375,,,,,,,,,,
Fukuoka,2021,3,689,34,5107000,,,-15.375,,,,,,,,,,
Fukushima,2020,1,0,0,1864000,101.71774,101.0806794514146,,,,,,,,,,,
Fukushima,2020,2,0,0,1864000,100.87885,100.6073246799188,0,,,,,,,,,,
Fukushima,2020,3,4,0,1864000,97.632607,96.0556798740607,-2,,,,,,,,,,
Fukushima,2020,4,69,0,1864000,92.304977,88.62686197297188,-12.875,,,,,,,,,,
Fukushima,2020,5,8,0,1864000,90.106651,84.79922727431418,-14.5,,,,,,,,,,
Fukushima,2020,6,1,0,1864000,94.43383,91.5072814264287,-5.5,,,,,,,,,,
Fukushima,2020,7,7,0,1864000,94.527229,92.51487912077194,-4,,,,,,,,,,
Fukushima,2020,8,72,0,1864000,95.959343,93.60100164936162,1.375,,,,,,,,,,
Fukushima,2020,9,92,3,1864000,97.631699,95.87761244865079,-.875,,,,,,,,,,
Fukushima,2020,10,135,3,1864000,98.700974,98.13381824421717,3.5,,,,,,,,,,
Fukushima,2020,11,113,0,1864000,99.192734,97.71314411286481,1.5,,,,,,,,,,
Fukushima,2020,12,443,14,1864000,98.583046,96.52417409093763,-7.75,,,,,,,,,,
Fukushima,2021,1,783,24,1864000,,96.89425080787437,-18,,,,,,,,,,
Fukushima,2021,2,220,27,1864000,,,-15.625,,,,,,,,,,
Fukushima,2021,3,367,33,1864000,,,-9,,,,,,,,,,
Gifu,2020,1,0,0,1997000,101.21101,101.5274262607357,,,,,,,,,,,
Gifu,2020,2,2,0,1997000,99.51944,100.9809890801352,-1.5,,,,,,,,,,
Gifu,2020,3,24,0,1997000,94.497459,96.53066148614469,-6.75,,,,,,,,,,
Gifu,2020,4,123,6,1997000,90.020889,87.90650430506898,-23.375,,,,,,,,,,
Gifu,2020,5,1,1,1997000,87.592926,83.64277618099794,-23,,,,,,,,,,
Gifu,2020,6,6,0,1997000,91.690353,90.69793936300904,-11.625,,,,,,,,,,
Gifu,2020,7,175,0,1997000,91.984489,92.02875922638354,-14.75,,,,,,,,,,
